Tray,ID,POS,plant id,Density,Final_Density,age_number,age,F_LF,yield,flower_number_1,D2Flowering,flower_node,pollen_avg,ff_height,ff_node,,auxnode,main_node_number,total_node_number,prop_early_growth,lowervolume,midrvolume,upvolume,Huber_Volume,Smalian_Volume,Newton_Volume,final_height,veg_weight,repro_weight,total_weight,leaf_area,flower_area,corolla,petal
4,BS,A1,pink,HIGH,7,0,1.E,F,0.00588,6,37,4,5,8.2,3,0,0,5,5,73.4481322,0.051093799,0.00753369,0.002160471,0.046876293,0.075847407,0.056533331,11.2,0.04,0.014,0.054,2.98214,4.056203,19.995,20.315
4,BS,A1,red,HIGH,7,0,1.E,,0.00252,4,39,4,,9.2,4,0,0,5,5,51.78679588,0.012758782,0.005172314,0.001045521,0.023398562,0.037489183,0.028095436,9.5,0.019,0.006,0.025,1.502695,3.5611485,19.165,18.57
4,BS,A1,red,HIGH,7,0,1.E,,0.00252,4,39,4,14,9.2,4,0,0,5,5,51.78679588,0.012758782,0.005172314,0.001045521,0.023398562,0.037489183,0.028095436,9.5,0.019,0.006,0.025,1.502695,3.5611485,19.165,18.57
4,BS,A1,redt,HIGH,7,0,1.E,,0.00168,3,39,3,3,6.7,3,0,0,4,4,52.18845832,0.01146806,0.007169658,0.00039694,0.022132423,0.017969698,0.020744848,7.1,0.009,0.004,0.013,1.051424,3.161111,18.435,17.115
4,BS,A1,redt,HIGH,7,0,1.E,,0.00168,3,39,3,7,6.7,3,0,0,4,4,52.18845832,0.01146806,0.007169658,0.00039694,0.022132423,0.017969698,0.020744848,7.1,0.009,0.004,0.013,1.051424,3.161111,18.435,17.115
4,BS,A1,purple,HIGH,7,0,1.E,,0.00084,2,39,4,3.5,7.2,3,0,0,3,3,,,,,0,,,7.2,0.005,0.002,0.007,1.089887,2.905808,15.44,18.82
4,BS,A1,none,HIGH,7,0,1.E,LF,0.00042,2,41,4,1.5,6,3,0,0,3,3,,,,,0,,,6,0.003,0.001,0.004,1.092368,2.29609,14.9,15.41
4,BS,A3,none,LOW,1,0,1.E,,0.00462,4,43,,,10.1,4,0,0,5,5,35.9258054,0.015954251,0.020023474,0.002806932,0.055413799,0.054736197,0.055187932,11.9,0.026,0.011,0.037,2.101347,,,
4,BS,A5,red,Interrmediate,2,0,1.E,F,0.00798,6,37,4,3.5,9.5,3,0,0,5,5,71.1557589,0.082033512,0.014074323,0.002280794,0.063334454,0.115050995,0.080573301,12.6,0.039,0.019,0.058,2.82289,4.390027,20.31,21.61
4,BS,A5,pink,Interrmediate,2,0,1.E,LF,0.00714,5,37,4,7.5,6.2,2,0,0,4,4,66.32376827,0.037714788,0.006872228,0.002376456,0.021794781,0.04919082,0.030926794,11.1,0.029,0.017,0.046,2.435769,3.8812315,19.515,19.83
4,BS,B5,redt,HIGH,5,0,1.E,F,0.0021,3,39,,,7,3,0,0,4,4,46.05614973,0.005736072,0.004902922,0.00090792,0.013577324,0.011210764,0.01278847,7.2,0.011,0.005,0.016,0.898414,,,
4,BS,B5,bluet,HIGH,5,0,1.E,,0.00168,3,39,,,7.5,2,0,0,3,3,,,,,0,,,9,0.017,0.004,0.021,0.9381,,,
4,BS,B5,none,HIGH,5,0,1.E,,0.00042,1,43,,,6,4,0,0,4,4,43.90243902,0.008143001,0.007068578,0.00090792,0.016964586,0.01493826,0.016289144,6,0.008,0.001,0.009,1.083624,,,
4,BS,B5,brownt,HIGH,5,0,1.E,,0.00042,1,39,,,6.5,3,0,0,3,3,,,,,0,,,6.5,0.006,0.001,0.007,0.69803,,,
4,BS,B5,lightbluet,HIGH,5,0,1.E,LF,0.00042,1,39,,,5.5,3,0,0,3,3,,,,,0,,,5.5,0.004,0.001,0.005,0.306,,,
4,BS,B7,purple,Interrmediate,2,0,1.E,F,0.00756,5,39,4,,9.2,3,0,0,5,5,65.39923954,0.033772093,0.011641554,0.000962112,0.057276448,0.054218935,0.056257277,12.3,0.032,0.018,0.05,1.736448,5.0295885,23.115,21.745
4,BS,B7,blue,Interrmediate,2,0,1.E,LF,0.00084,1,43,,,3.2,3,0,0,3,3,,,,,0,,,3.2,0.006,0.002,0.008,0.7169388,,,
4,BS,D6,brownt,Interrmediate,3,0,1.E,F,0.00294,2,41,,,8,3,0,0,3,3,,,,,0,,,8,0.008,0.007,0.015,1.41335,,,
4,BS,D6,redt,Interrmediate,3,0,1.E,,0.00084,2,39,,,5.7,3,0,0,3,3,,,,,0,,,5.7,0.006,0.002,0.008,0.7933788,,,
4,BS,D6,none,Interrmediate,3,0,1.E,LF,0.00084,2,39,,,4.8,2,0,0,2,2,,,,,0,,,4.8,0.004,0.002,0.006,0.7704,,,
4,BS,D7,none,LOW,1,0,1.E,,0.01344,6,,4,4,11,3,0,0,5,5,71.48283079,0.126027082,0.017679926,0.003799203,0.073108883,0.204263865,0.116827211,15.3,0.066,0.032,0.098,4.574852,6.145736,24.79,24.8
4,BS,D8,none,LOW,1,0,1.E,,0.00462,4,39,,,8,2,0,0,4,4,75.74598317,0.046186085,0.007399073,0.0014522,0.035065171,0.049866851,0.039999064,10.9,0.032,0.011,0.043,1.64122,,,
4,IS,A7,none,Interrmediate,2,0,1.E,F,0.0021,3,41,,,3.2,2,0,0,3,3,,,,,0,,,3.6,0.01,0.005,0.015,1.319004,,,
4,IS,A7,lightblue,Interrmediate,2,0,1.E,LF,0,1,41,,,1.2,2,0,0,2,2,,,,,0,,,1.2,0.001,0,0.001,0.2226,,,
4,IS,B1,none,LOW,1,0,1.E,,0.00336,4,39,3,4,6.5,3,0,0,4,4,56.40535373,0.006834922,0.003619112,0.000254469,0.013028802,0.010758375,0.012271993,7.2,0.012,0.008,0.02,1.149858,1.800263,13.185,13.655
4,IS,B1,none,LOW,1,0,1.E,LF,0.00336,4,39,3,2,6.5,3,0,0,4,4,56.40535373,0.006834922,0.003619112,0.000254469,0.013028802,0.010758375,0.012271993,7.2,0.012,0.008,0.02,1.149858,1.800263,13.185,13.655
4,IS,B8,redt,Interrmediate,3,0,1.E,F,0.0042,3,39,3,1.5,3,4,0,0,5,5,66.7115903,0.006997892,0.0016286,0.000150953,0.007419179,0.014588798,0.009809052,4.1,0.011,0.01,0.021,0.73346,4.271036,21.56,19.81
4,IS,B8,lightbluet,Interrmediate,3,0,1.E,,0.0021,4,39,3,3.5,4.1,3,0,0,4,4,37.22727273,0.004052415,0.005299313,0.000754767,0.016521386,0.010260826,0.014434533,5.3,0.013,0.005,0.018,0.946777,3.895624,20.33,19.16
4,IS,B8,brownt,Interrmediate,3,0,1.E,LF,0.00168,2,39,3,,4,3,0,0,3,3,,,,,0,,,4,0.006,0.004,0.01,0.64008,2.343401,14.71,15.795
4,IS,C4,brownt,Interrmediate,4,0,1.E,F,0.00126,2,37,3,,4.3,3,0,0,4,4,47.05882353,0.003201909,0.002602415,0.000170117,0.007460255,0.00590505,0.006941854,4.3,0.006,0.003,0.009,0.4891,3.164808,19.56,16.18
4,IS,C4,lightbluet,Interrmediate,4,0,1.E,,0.00084,2,39,,,4.1,3,0,0,3,3,,,,,0,,,4.1,0.004,0.002,0.006,0.53352,,,
